age,annual_income,employment_length_years,num_credit_accounts,credit_utilization,missed_payments_2yrs,loan_amount,debt_to_income_ratio,home_ownership,loan_purpose,creditworthy
24,76185.13,19,14,0.884,0,7887.78,0.48,RENT,debt_consolidation,0
55,39058.56,23,13,0.037,0,5739.71,0.317,RENT,credit_card,0
49,36217.3,34,4,0.634,1,24964.31,0.217,MORTGAGE,debt_consolidation,0
40,65113.53,26,7,0.906,1,29886.9,0.118,MORTGAGE,other,0
40,76748.17,7,11,0.977,0,500.0,0.521,OWN,credit_card,1
58,55885.64,1,3,0.65,0,29083.33,0.28,RENT,home_improvement,1
24,26699.35,22,0,0.95,0,15780.49,0.293,RENT,debt_consolidation,1
51,25074.32,19,4,0.076,2,24114.48,0.51,MORTGAGE,car,0
29,23603.0,32,8,0.359,0,19558.2,0.517,OWN,credit_card,0
25,16112.31,20,2,0.009,0,27963.56,0.331,RENT,credit_card,0
44,57408.68,17,5,0.981,0,16887.68,0.398,MORTGAGE,home_improvement,0
63,79750.97,10,13,0.903,1,2728.91,0.202,RENT,credit_card,0
53,54704.85,3,1,0.028,0,14048.93,0.564,MORTGAGE,credit_card,0
54,12000.0,30,0,0.018,0,19640.9,0.362,RENT,home_improvement,1
52,50803.27,28,6,0.367,0,13056.35,0.446,OWN,car,0
55,51418.42,5,0,0.259,1,20919.59,0.133,RENT,debt_consolidation,1
43,101111.97,24,0,0.847,1,14408.72,0.42,MORTGAGE,other,0
26,22942.97,12,2,0.16,1,9640.42,0.273,MORTGAGE,credit_card,0
57,46405.09,15,1,0.791,1,5226.19,0.318,RENT,debt_consolidation,0
40,92528.76,29,12,0.554,0,11473.66,0.425,RENT,debt_consolidation,1
43,64899.52,29,1,0.377,1,16841.14,0.508,MORTGAGE,credit_card,0
37,67392.89,6,7,0.146,0,500.0,0.242,MORTGAGE,debt_consolidation,0
29,57520.86,10,10,0.998,0,7979.31,0.53,MORTGAGE,car,0
61,62258.76,28,9,0.618,0,500.0,0.17,MORTGAGE,credit_card,0
55,72107.41,32,9,0.439,2,9446.33,0.4,RENT,other,0
49,37191.3,2,5,0.371,2,25775.83,0.173,OWN,debt_consolidation,1
38,74317.29,29,13,0.906,0,4324.95,0.209,RENT,home_improvement,0
57,24793.93,17,1,0.821,0,21328.44,0.542,MORTGAGE,debt_consolidation,1
44,62224.1,20,1,0.811,3,40639.43,0.116,OWN,credit_card,0
40,58932.3,2,12,0.616,0,28081.84,0.554,OWN,credit_card,0
40,41441.55,23,1,0.888,1,16201.62,0.251,RENT,home_improvement,0
30,54500.92,23,2,0.299,1,22725.91,0.453,RENT,home_improvement,0
25,41304.12,23,2,0.704,0,2672.85,0.1,MORTGAGE,debt_consolidation,0
45,31422.57,27,0,0.404,2,839.27,0.443,RENT,debt_consolidation,0
60,47220.48,33,1,0.6,0,15258.28,0.55,MORTGAGE,credit_card,1
23,30712.25,29,8,0.998,0,18587.5,0.355,MORTGAGE,debt_consolidation,0
58,62101.54,26,9,0.985,1,24849.64,0.269,RENT,home_improvement,0
57,29698.12,34,1,0.513,0,9881.14,0.486,RENT,credit_card,0
33,70663.49,23,14,0.574,1,16740.56,0.462,MORTGAGE,car,0
48,29007.46,23,1,0.897,0,16432.0,0.115,MORTGAGE,other,0
28,42541.51,18,10,0.986,1,13817.45,0.436,RENT,credit_card,0
54,41258.73,26,12,0.779,0,14347.73,0.416,RENT,other,1
51,84153.23,2,7,0.065,0,7307.66,0.464,RENT,car,1
36,62266.38,17,7,0.323,2,17517.37,0.264,MORTGAGE,debt_consolidation,0
23,50341.86,14,1,0.897,0,16755.45,0.271,MORTGAGE,car,0
63,65971.83,31,3,0.768,2,11039.89,0.618,OWN,credit_card,0
40,12000.0,2,12,0.742,0,20991.97,0.365,OWN,home_improvement,0
60,54051.06,22,5,0.668,2,24250.48,0.37,MORTGAGE,home_improvement,0
50,98945.31,6,0,0.415,2,21096.39,0.633,OWN,car,0
55,57911.62,30,10,0.403,0,5618.01,0.176,RENT,car,1
54,56494.09,29,10,0.809,1,15896.81,0.289,MORTGAGE,car,0
29,67058.82,8,0,0.294,0,6797.12,0.468,MORTGAGE,debt_consolidation,1
37,74703.32,30,0,0.685,1,15868.99,0.462,MORTGAGE,other,0
41,12000.0,17,1,0.726,1,6832.17,0.602,MORTGAGE,home_improvement,0
42,17988.82,33,0,0.845,0,26494.47,0.41,RENT,car,1
22,59626.41,25,9,0.32,0,22049.98,0.222,OWN,car,1
45,39272.72,1,1,0.742,1,25376.9,0.289,OWN,debt_consolidation,0
27,83864.56,7,9,0.106,0,24465.5,0.099,OWN,debt_consolidation,1
53,48066.16,14,2,0.138,0,12564.6,0.558,MORTGAGE,car,0
51,12440.32,7,14,0.417,0,11169.51,0.121,OWN,other,0
61,27103.69,4,10,0.055,2,30675.51,0.39,MORTGAGE,car,0
53,12000.0,34,5,0.948,0,13513.92,0.271,MORTGAGE,credit_card,1
37,49849.24,30,6,0.902,1,2808.77,0.144,RENT,debt_consolidation,1
63,50855.55,15,0,0.049,0,24067.2,0.211,MORTGAGE,credit_card,1
39,45661.82,7,0,0.838,0,16293.98,0.398,MORTGAGE,credit_card,1
35,78735.34,6,8,0.509,0,28553.5,0.067,MORTGAGE,car,1
60,81367.44,32,0,0.702,0,17186.73,0.581,OWN,credit_card,1
37,51251.45,11,9,0.887,1,14819.99,0.57,RENT,credit_card,0
24,12000.0,0,5,0.577,2,28735.09,0.137,MORTGAGE,credit_card,0
41,68580.19,13,2,0.116,0,1153.8,0.528,RENT,other,1
56,67217.93,15,8,0.003,1,9731.74,0.251,MORTGAGE,home_improvement,0
29,61806.61,21,8,0.497,0,7013.73,0.087,RENT,debt_consolidation,0
41,76592.55,11,11,0.949,0,500.0,0.218,RENT,credit_card,1
26,29373.78,32,2,0.573,3,22858.59,0.555,RENT,credit_card,0
51,99192.62,22,8,0.373,0,9983.23,0.416,RENT,debt_consolidation,1
41,33892.59,34,12,0.031,2,23148.31,0.221,RENT,home_improvement,0
35,71482.9,12,4,0.915,2,18501.78,0.486,MORTGAGE,debt_consolidation,0
30,17878.35,22,12,0.327,0,20464.28,0.439,RENT,credit_card,1
45,34534.18,12,10,0.705,0,10901.4,0.459,RENT,credit_card,1
50,88360.11,24,6,0.694,1,8121.77,0.367,RENT,credit_card,0
62,49260.2,26,13,0.254,0,15807.85,0.5,RENT,credit_card,0
40,73478.3,11,14,0.064,1,23272.51,0.423,RENT,home_improvement,0
28,60213.02,32,3,0.385,2,14546.56,0.159,OWN,debt_consolidation,0
57,52690.92,30,14,0.317,0,8682.57,0.496,MORTGAGE,debt_consolidation,1
48,85004.71,31,0,0.7,1,4208.84,0.248,RENT,car,1
51,49793.51,7,1,0.82,2,16837.47,0.478,MORTGAGE,other,0
25,15823.76,25,0,0.222,1,10013.39,0.441,RENT,debt_consolidation,1
34,37328.72,3,5,0.528,1,14354.33,0.255,MORTGAGE,debt_consolidation,0
54,67126.22,3,14,0.041,0,12850.99,0.139,OWN,other,1
57,63701.2,34,9,0.214,0,11000.12,0.432,RENT,debt_consolidation,1
40,20524.72,5,9,0.762,1,17644.23,0.537,RENT,other,0
56,39064.46,30,1,0.793,0,19990.54,0.511,MORTGAGE,car,0
58,42202.13,15,7,0.776,1,32687.51,0.415,RENT,debt_consolidation,0
38,46959.67,10,5,0.142,1,21821.71,0.195,RENT,debt_consolidation,0
60,24729.9,2,7,0.551,0,29343.14,0.224,MORTGAGE,other,0
33,41175.84,23,3,0.423,0,7632.6,0.465,MORTGAGE,debt_consolidation,1
31,38970.57,25,3,0.991,0,591.5,0.276,RENT,credit_card,0
51,71973.73,16,14,0.654,3,14870.13,0.513,MORTGAGE,debt_consolidation,0
49,72800.67,28,8,0.935,2,22722.25,0.26,RENT,home_improvement,0
27,51792.17,11,6,0.145,0,21310.46,0.053,RENT,car,0
57,46375.12,19,1,0.451,2,25902.43,0.422,MORTGAGE,home_improvement,0
29,58078.33,10,11,0.772,0,500.0,0.381,MORTGAGE,debt_consolidation,0
56,37035.35,20,7,0.368,0,26276.79,0.395,MORTGAGE,credit_card,1
21,29769.69,4,5,0.633,0,18019.16,0.198,MORTGAGE,home_improvement,0
56,34315.13,16,10,0.512,1,1103.88,0.516,MORTGAGE,debt_consolidation,0
55,41034.11,19,1,0.992,2,21511.76,0.358,OWN,car,0
55,29403.58,19,7,0.174,2,16525.34,0.509,MORTGAGE,home_improvement,1
50,58565.31,15,12,0.935,0,18431.06,0.386,RENT,debt_consolidation,1
41,71053.74,22,6,0.402,1,23991.98,0.299,MORTGAGE,other,0
52,20083.84,17,0,0.468,0,18872.48,0.424,RENT,credit_card,0
33,55552.83,9,3,0.529,0,1744.57,0.366,MORTGAGE,debt_consolidation,1
55,50161.41,7,0,0.265,0,13712.76,0.331,RENT,debt_consolidation,0
45,62513.19,22,7,0.964,1,500.0,0.427,MORTGAGE,credit_card,0
41,54715.35,32,5,0.911,1,20841.56,0.117,MORTGAGE,debt_consolidation,1
43,23020.82,26,1,0.973,1,27581.73,0.571,MORTGAGE,debt_consolidation,0
46,27227.44,22,10,0.997,2,3826.93,0.274,RENT,car,0
22,55647.32,32,2,0.67,1,8956.83,0.194,RENT,home_improvement,0
27,77633.18,31,5,0.452,1,7058.68,0.494,MORTGAGE,debt_consolidation,0
31,12000.0,17,14,0.851,0,10914.85,0.177,OWN,home_improvement,0
26,62605.98,3,0,0.024,0,18711.81,0.598,MORTGAGE,home_improvement,0
40,81171.68,22,3,0.834,0,11012.38,0.281,RENT,credit_card,0
50,51633.43,21,4,0.497,2,20872.77,0.253,RENT,other,0
49,67104.45,9,7,0.673,0,24588.42,0.084,MORTGAGE,debt_consolidation,1
41,39532.48,29,3,0.374,0,24915.83,0.073,RENT,debt_consolidation,1
58,52373.94,30,14,0.369,1,4936.37,0.122,OWN,debt_consolidation,0
45,19339.9,11,0,0.032,0,27473.36,0.053,MORTGAGE,debt_consolidation,1
24,12000.0,16,14,0.424,1,28194.65,0.25,RENT,credit_card,1
54,75740.85,6,8,0.408,1,28974.12,0.241,RENT,debt_consolidation,0
46,33330.11,6,0,0.225,0,13579.67,0.287,RENT,credit_card,1
48,44978.39,9,1,0.247,1,8233.42,0.198,MORTGAGE,other,0
45,24498.27,12,1,0.584,0,6141.83,0.085,MORTGAGE,car,1
45,23980.67,9,4,0.318,3,5083.98,0.149,RENT,home_improvement,0
24,51175.57,5,4,0.83,0,15105.21,0.15,MORTGAGE,home_improvement,0
45,38949.3,15,9,0.111,0,22630.67,0.224,RENT,home_improvement,1
55,63315.36,21,4,0.578,2,26759.03,0.171,MORTGAGE,credit_card,0
34,64955.85,11,10,0.16,1,10629.99,0.271,OWN,credit_card,1
47,62058.69,18,4,0.528,1,14651.81,0.577,RENT,debt_consolidation,1
22,60249.22,9,3,0.553,0,14062.31,0.194,RENT,debt_consolidation,1
36,89710.9,24,4,0.642,2,9282.48,0.183,OWN,credit_card,0
40,31512.94,22,4,0.427,0,21621.75,0.416,RENT,credit_card,0
64,53791.43,33,12,0.509,1,18265.63,0.34,RENT,debt_consolidation,1
30,79919.18,1,3,0.181,1,16276.41,0.096,MORTGAGE,debt_consolidation,0
33,82819.88,29,4,0.463,0,18224.75,0.483,MORTGAGE,car,1
38,23721.2,11,14,0.373,0,20539.06,0.443,OWN,debt_consolidation,0
64,48128.18,2,9,0.666,0,20448.93,0.588,MORTGAGE,credit_card,0
58,84878.66,24,2,0.435,1,7453.59,0.586,MORTGAGE,debt_consolidation,0
22,66177.74,6,13,0.779,1,23066.96,0.391,RENT,debt_consolidation,0
31,59295.79,6,2,0.426,1,17298.3,0.447,RENT,car,0
57,50210.94,34,2,0.236,0,11088.45,0.275,MORTGAGE,debt_consolidation,1
23,46556.38,7,6,0.274,1,17108.07,0.559,RENT,debt_consolidation,1
58,61340.82,19,10,0.045,0,18100.3,0.354,MORTGAGE,other,1
33,49447.77,7,2,0.54,0,24736.05,0.229,RENT,credit_card,0
61,54063.27,4,11,0.831,1,5584.6,0.075,RENT,home_improvement,0
33,56729.17,0,2,0.769,0,26924.86,0.373,MORTGAGE,home_improvement,0
